countdown_index,title,year,tMeterScore,adjusted_score,critics_consensus,synopsis,synopsis_link,director,cast
64,The Night Comes For Us,2018,90.0,90.364,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","The Night Comes For Us follows Ito (played by Joe Taslim), a former triad enforcer, and his mission to protect...",https://www.rottentomatoes.com/m/the_night_comes_for_us/,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
63,Logan,2017,93.0,110.61,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout...",https://www.rottentomatoes.com/m/logan_2017/,James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant"
62,Goldfinger,1964,98.0,104.227,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.","To many, the quintessential Bond film and a brilliant third entry in the series. Here Bond gets his Aston Martin,...",https://www.rottentomatoes.com/m/goldfinger/,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
61,Assault on Precinct 13,1976,98.0,102.298,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Cops, secretaries, and prisoners stuck in a soon-to-be-shuttered L.A. police station fight off a horde of murderous gang members in...",https://www.rottentomatoes.com/m/1001280-assault_on_precinct_13/,John Carpenter,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer"
60,Wonder Woman,2017,93.0,112.448,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a...,https://www.rottentomatoes.com/m/wonder_woman_2017/,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
59,Fist of Fury (Jing wu men),1972,92.0,92.807,No consensus yet.,Bruce Lee stars as a martial arts expert who vows vengeance when his kung fu master is murdered. He discovers...,https://www.rottentomatoes.com/m/chinese_connection/,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker"
58,Captain America: The Winter Soldier,2014,90.0,101.743,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into...",https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014/,Joe Russo,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie"
57,Oldboy,2005,82.0,86.609,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",South Korean filmmaker Park Chan-wook directed this violent and offbeat story of punishment and vengeance. Oh Dae-su (Choi Min-sik) is...,https://www.rottentomatoes.com/m/oldboy/,Park Chan-wook,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung"
56,The French Connection,1971,98.0,104.292,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","This gritty, fast-paced, and innovative police drama earned five Academy Awards, including Best Picture, Best Adapted Screenplay (written by Ernest...",https://www.rottentomatoes.com/m/french_connection/,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi"
55,Furious 7,2015,81.0,91.222,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Continuing the global exploits in the unstoppable franchise built on speed, Vin Diesel, Paul Walker and Dwayne Johnson lead the...",https://www.rottentomatoes.com/m/furious_7/,James Wan,"Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnson"
54,La Femme Nikita (Nikita),1990,88.0,90.534,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"The serpentine plotline of Luc Besson's La Femme Nikita begins its 117-minute slither when punkish, psychotic, and drug-ridden Nikita (Anne...",https://www.rottentomatoes.com/m/la_femme_nikita/,Luc Besson,"Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno"
53,Supercop,1996,96.0,98.249,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.",A Hong Kong detective fights to stop a Chinese drug czar....,https://www.rottentomatoes.com/m/supercop/,Stanley Tong,"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yuen"
